sequence,gender,generation,education_type,locality,religion,how_often,partner,marriage,break,divorce,education,work,sep_from_par,child,p_m,p_b,p_d,p_e,p_w,p_s,p_c,m_b,m_d,m_e,m_w,m_s,m_c,b_d,b_e,b_w,b_s,b_c,d_e,d_w,d_s,d_c,e_w,e_s,e_c,w_s,w_c,s_c
swmce,m,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewmsc,m,0,general,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
wecpms,f,0,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,<,>,<,<,>,>,<,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
wemsc,f,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wemcs,m,0,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
ewpmscbd,m,1,professional,city,yes,sev_a_year,1,1,1,1,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,<,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wespc,f,1,professional,city,yes,sev_a_year,1,0,0,0,1,1,1,1,<,<,<,>,>,>,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wesmcp,m,0,general,city,no,never,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wesmc,m,0,general,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
smewc,f,1,higher,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wemcs,f,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
wmcse,f,1,professional,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,>
ewmscp,f,0,general,city,yes,never,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
eswc,f,0,general,city,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,=,<,>,<,<
sewpbmc,f,0,higher,city,yes,sev_a_year,1,1,1,0,1,1,1,1,<,<,<,>,>,>,<,>,<,>,>,>,<,<,>,>,>,<,>,>,>,>,<,>,<,>,<,<
ewsc,f,0,general,city,yes,min_once_a_month,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wescpb,m,1,professional,city,yes,never,1,0,1,0,1,1,1,1,<,<,<,>,>,>,>,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<
pmcewsbd,f,0,professional,city,yes,min_once_a_month,1,1,1,1,1,1,1,1,<,<,<,<,<,<,<,<,<,<,<,<,=,<,>,>,>,>,>,>,>,>,<,<,>,<,>,>
swpmce,m,1,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
wpcmesbd,m,0,professional,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,>,<,<,<,<,<,>,<,>,<,>,>,>,>,>,>,>,>,>,<,>,<,<,>
sewpcm,f,1,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,=,>,<,>,<,<
eswc,f,1,higher,city,no,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,>,<,<
swce,f,0,general,city,no,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
wesmc,f,0,general,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wmces,f,1,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,<,>,<,<,>
smcwe,m,0,general,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,>,<
ewsmcpdb,f,1,professional,city,no,never,1,1,1,1,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wemsc,m,1,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
msecwpdb,f,1,professional,city,yes,never,1,1,1,1,1,1,1,1,>,<,<,>,>,>,>,<,<,<,<,=,<,>,>,>,>,>,>,>,>,>,<,>,<,>,>,<
psmewc,f,1,professional,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,<,<,=,<,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
mswcedp,f,1,professional,city,yes,never,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,<,<,=,<,>,>,>,>,>,>,>,>,>,>,>,>,>,<,<
swmce,m,0,higher,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewsmc,f,0,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,=,<,<
ews,f,1,professional,city,yes,sev_a_year,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,<,<,<,<,<,<
wsemcp,f,0,general,city,yes,sev_a_year,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
wemsc,f,0,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
swepcm,m,0,professional,city,no,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
ewmsdc,f,0,professional,city,no,never,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<,<
pbcewms,f,1,general,city,no,never,1,1,1,0,1,1,1,1,<,<,<,<,<,<,<,>,<,>,>,<,>,<,<,<,<,<,>,>,>,>,<,<,>,<,>,>
ewsc,m,1,professional,city,no,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
swemc,f,0,higher,city,no,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
wmces,m,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,<,>,<,<,>
wemsc,m,0,professional,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
mscew,f,0,general,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,=,>,>,>,>,<
mewscd,m,0,professional,city,yes,never,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmcs,f,0,general,city,no,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewcps,f,0,general,city,no,never,1,0,0,0,1,1,1,1,<,<,<,>,>,=,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
wespcm,m,1,professional,city,no,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wepscm,f,0,general,city,no,never,1,1,0,0,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
pmscwbde,m,1,higher,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,<,<,<,<,<,<,<,=,=,=,<,>,>,>,<,>,>,>,>,>,>,>,>,=
ewmscp,f,0,general,city,yes,min_once_a_month,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
wse,m,1,general,city,no,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,>,>,<,<,<,<
sewpcm,m,1,higher,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wsmec,f,0,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,=,<,<,<
emwsdcp,f,0,professional,city,yes,sev_a_year,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,<,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<,<
ewsmc,m,1,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
swemcpdb,m,1,professional,city,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<
wmscepb,f,0,professional,city,yes,min_once_a_month,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,<,>,<,<,<,>,>,>,>,>,>,>,>,>,>,>,<,<,<
ewpcs,f,1,professional,city,yes,never,1,0,0,0,1,1,1,1,<,<,<,>,>,<,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
swemcd,f,1,professional,city,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<
wsemcp,f,0,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
ewmscp,f,0,general,city,yes,never,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wpbecms,f,0,general,city,yes,sev_a_year,1,1,1,0,1,1,1,1,<,<,<,<,>,<,<,>,<,>,>,<,>,<,<,>,<,<,>,>,>,>,>,<,<,<,<,>
wmsce,f,0,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wpmcsbde,f,0,general,city,yes,sev_a_year,1,1,1,1,1,1,1,1,<,<,<,<,>,<,<,<,<,<,>,<,<,<,<,>,>,>,<,>,>,>,>,>,>,<,<,>
ewsmc,f,0,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewscpm,f,1,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,>,>,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ew,f,1,higher,city,yes,min_once_a_month,0,0,0,0,1,1,0,0,n,n,n,>,>,n,n,n,n,>,>,n,n,n,>,>,n,n,>,>,n,n,<,<,<,<,<,n
wmscde,m,1,higher,city,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,<,>,=,<,>,>,>,>,>,<,>,>,>,>,>,>,<,<,<
wmcpesdb,f,1,professional,city,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,<,<,>,<,>,<,<,<,>,<,<,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
mscew,f,0,higher,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
we,m,1,professional,city,yes,never,0,0,0,0,1,1,0,0,n,n,n,>,>,n,n,n,n,>,>,n,n,n,>,>,n,n,>,>,n,n,>,<,<,<,<,n
ewcms,f,0,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewpscmbd,f,1,professional,city,yes,sev_a_year,1,1,1,1,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,>,=,>,>,>,>,>,>,>,>,<,<,<,<,<,<
sewmc,m,0,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewsc,f,0,professional,city,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,=,<,<
wsemc,f,0,higher,city,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
wepsmc,f,1,professional,city,yes,min_once_a_month,1,1,0,0,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
sewcm,f,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
mewsc,f,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,=,=,=,<,n,>,>,>,>,>,>,>,>,=,=,<,=,<,<
wemsc,f,1,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wemcs,f,1,general,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
wmsce,f,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
ewsmc,f,0,professional,city,no,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,=,<,<
wscpme,f,1,professional,city,yes,min_once_a_month,1,1,0,0,1,1,1,1,<,<,<,<,>,>,>,<,<,<,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,=
sewmcdpb,f,0,professional,city,yes,never,1,1,1,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,<,<
sewmc,f,0,higher,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,>,<,>,<,<
psewcm,f,1,general,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,<,<,=,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wespmc,m,0,professional,city,no,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewspmcd,m,1,professional,city,yes,never,1,1,0,1,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,<,<,<,=,<,<
wepmcs,f,0,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
wspmceb,f,0,higher,village,yes,sev_a_year,1,1,1,0,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,>,>,=,<,<
sewmc,f,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
sewpcb,f,1,higher,village,yes,never,1,0,1,0,1,1,1,1,<,<,<,>,>,>,<,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wsce,f,0,professional,village,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
msewcpd,f,0,higher,village,no,never,1,1,0,1,1,1,1,1,>,<,<,>,>,>,>,<,<,<,<,=,<,>,>,>,>,>,>,>,>,>,<,>,<,>,<,<
swmce,f,0,higher,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
wspmceb,f,0,higher,village,no,never,1,1,1,0,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,>,>,<,<,<
mwescp,f,0,general,village,yes,sev_a_year,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
smcewd,f,1,higher,village,yes,min_once_a_month,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,<,<,>,<,>,>,>,>,>,>,>,>,>,<,>,>,>,>,<
sewmc,f,0,general,village,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewpmsc,f,1,general,village,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,=
wesmcp,f,0,professional,village,yes,sev_a_year,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,=,<,<,<,<
sewmc,f,0,professional,village,no,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
sewpb,f,1,professional,city,yes,sev_a_year,1,0,1,0,1,1,1,0,<,<,<,>,>,>,<,>,n,>,>,>,n,<,>,>,>,<,>,>,>,n,<,>,<,>,<,<
sepmwbdc,f,0,higher,city,yes,sev_a_year,1,1,1,1,1,1,1,1,<,<,<,>,<,>,<,<,<,>,=,>,<,=,>,>,>,<,>,>,>,<,<,>,<,>,<,<
wspmec,m,1,general,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
swmce,m,0,general,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
wepsc,m,1,professional,city,no,sev_a_year,1,0,0,0,1,1,1,1,<,<,<,>,>,=,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wsec,f,0,higher,city,yes,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,=,<,<,<
sewpmc,f,1,professional,city,no,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
smwce,m,0,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewmsc,m,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wsmec,f,1,general,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
swpmcbde,f,1,higher,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,<,<,<,>,>,>,<,>,>,>,>,>,>,>,<,<
ew,m,1,higher,city,yes,never,0,0,0,0,1,1,0,0,n,n,n,>,>,n,n,n,n,>,>,n,n,n,>,>,n,n,>,>,n,n,<,<,<,<,<,n
wspbe,m,1,professional,city,yes,sev_a_year,1,0,1,0,1,1,1,0,<,<,<,<,>,>,<,>,n,>,>,>,n,<,<,>,>,<,>,>,>,n,>,>,<,<,<,<
swem,f,0,higher,city,yes,min_once_a_month,0,1,0,0,1,1,1,0,>,n,n,>,>,>,n,<,<,>,>,>,<,n,>,>,>,n,>,>,>,n,>,>,<,>,<,<
smcewp,f,0,higher,city,yes,sev_a_year,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
epwsb,f,1,general,city,yes,sev_a_year,1,0,1,0,1,1,1,0,<,<,<,>,<,<,<,>,n,>,>,>,n,<,>,>,>,<,>,>,>,n,<,<,<,=,<,<
spwmec,f,0,higher,city,no,never,1,1,0,0,1,1,1,1,<,<,<,<,=,>,<,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
swmce,m,1,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewmscd,f,1,professional,city,yes,never,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,=,<,<,<,<,<
swmce,m,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
wemsc,f,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
eswcpm,m,1,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,>,>,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,<,=,<,>,<,<
sewpcb,f,1,higher,city,no,never,1,0,1,0,1,1,1,1,<,<,<,>,>,>,<,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,=,>,<,>,<,<
ewpsmcbd,f,0,professional,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
sewcpmbd,f,1,professional,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,>,>,>,>,<,<,>,>,>,>,<,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wspbemcd,f,0,general,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,>,>,<,>,<,>,>,>,<,<,<,>,>,<,>,>,>,>,>,>,<,<,<,<
wemsc,f,0,general,city,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewspcmb,f,0,general,city,yes,once_a_week,1,1,1,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wpsce,m,0,general,city,yes,never,1,0,0,0,1,1,1,1,<,<,<,<,>,=,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
epwsc,f,1,general,city,yes,never,1,0,0,0,1,1,1,1,<,<,<,>,=,=,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,=,<,<
swpmcbde,f,1,higher,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,<,=,<,>,>,>,<,>,>,>,>,>,>,>,<,<
spewcmbd,f,0,general,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,<,>,<,<,<,>,>,>,>,<,>,>,>,>,>,>,>,>,<,>,<,>,<,<
swemd,m,1,professional,city,yes,min_once_a_month,0,1,0,1,1,1,1,0,>,n,>,>,>,>,n,<,<,>,>,>,<,>,>,>,>,n,>,>,>,<,>,>,<,>,<,<
ewsmc,m,1,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
sewpmc,m,0,professional,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
peswcb,f,1,professional,city,no,never,1,0,1,0,1,1,1,1,<,<,<,<,<,<,<,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,<,<,<,>,<,<
mcews,f,1,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,<,<,>,<,>,>
wmsce,f,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
mcswe,f,1,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,>,>,>,>,>,>
ewmsc,m,1,professional,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
wepm,f,1,general,city,no,never,1,1,0,0,1,1,0,0,<,<,<,>,>,<,<,<,<,>,>,<,<,n,>,>,n,n,>,>,n,n,>,<,<,<,<,n
pswmde,f,1,higher,city,no,never,1,1,0,1,1,1,1,0,<,<,<,<,<,<,<,<,<,<,>,>,<,>,>,>,>,n,<,>,>,<,>,>,<,>,<,<
wespmcb,m,1,higher,city,no,never,1,1,1,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<
pmcew,f,1,professional,city,no,never,1,1,0,0,1,1,0,1,<,<,<,<,<,<,<,<,<,<,<,<,<,n,>,>,n,>,>,>,n,>,<,<,>,<,>,>
