sequence,education_type,locality,religion,how_often,generation,gender
ewsmc,professional,town,yes,sev_a_year,0,f
wmsecdp,general,town,yes,sev_a_year,0,f
ewmcs,professional,town,yes,sev_a_year,0,f
wmcse,professional,town,yes,never,0,m
wmsce,professional,town,yes,sev_a_year,0,m
ewmsc,higher,town,yes,sev_a_year,1,f
wsemcdp,general,town,yes,sev_a_year,1,f
swmce,professional,town,yes,sev_a_year,0,f
emscw,professional,town,yes,sev_a_year,1,f
swmce,higher,town,yes,sev_a_year,1,m
ewmcs,professional,town,yes,never,0,m
sewc,professional,village,no,never,1,m
ewmscpb,professional,village,yes,sev_a_year,0,f
msecw,professional,village,yes,never,1,f
ewmsc,professional,village,yes,never,1,f
wsemc,general,village,yes,never,0,m
spmcwe,professional,village,yes,never,0,m
sewc,professional,village,yes,never,1,f
secw,professional,village,yes,sev_a_year,0,f
wmsce,professional,village,yes,sev_a_year,0,f
wsepcm,professional,village,yes,sev_a_year,0,f
sewmc,professional,village,yes,never,1,f
smcew,professional,village,yes,never,0,m
mecws,higher,village,yes,never,0,m
ecmswpb,general,village,yes,sev_a_year,0,f
mecw,professional,village,yes,sev_a_year,1,f
ewmsc,general,village,yes,sev_a_year,0,f
mscew,professional,village,yes,sev_a_year,1,f
smcew,higher,village,yes,sev_a_year,0,f
mcwes,professional,village,yes,sev_a_year,0,f
emwcs,professional,village,yes,never,0,m
ewmsc,general,village,yes,once_a_week,0,f
ewmscd,general,village,yes,sev_a_year,0,f
ewpsmc,professional,village,yes,never,1,m
ewpmscbd,professional,village,yes,never,1,f
smwecdpb,professional,village,yes,sev_a_year,0,f
ewsc,general,village,yes,never,0,f
ewpscb,general,village,yes,sev_a_year,0,f
emcwpbs,professional,village,yes,sev_a_year,0,f
wsemc,professional,village,yes,sev_a_year,1,f
spmcwe,professional,village,yes,never,1,f
wepcmsb,professional,village,yes,never,0,f
ewmscdpb,general,village,yes,sev_a_year,0,f
ewsc,general,village,yes,sev_a_year,0,f
wepcbsm,professional,village,yes,never,0,m
wmcesdp,professional,village,yes,never,0,f
smwce,higher,village,yes,never,0,m
ewmcsdp,professional,village,yes,never,1,f
ewmsc,professional,village,yes,never,1,m
ewcs,professional,village,yes,never,1,f
semwc,professional,village,yes,never,0,m
ewsmc,professional,village,yes,never,0,m
ewsc,general,village,yes,sev_a_year,0,f
ewmsc,general,village,yes,sev_a_year,0,f
ewsc,general,village,yes,sev_a_year,0,f
wpecsm,professional,village,yes,never,1,m
wemsc,general,village,yes,never,0,m
ewsmc,professional,village,yes,never,0,m
wemsc,general,village,yes,sev_a_year,0,f
ewmsc,general,village,yes,sev_a_year,0,f
ewpscmb,general,village,yes,never,0,m
ewsmc,general,village,yes,sev_a_year,0,m
ewmcs,professional,village,yes,never,0,m
ewmcs,higher,village,yes,never,1,f
ewmcs,general,village,yes,sev_a_year,0,f
swmec,professional,village,yes,never,0,m
semwc,professional,village,yes,never,0,f
ewmsc,general,village,yes,sev_a_year,0,f
ewcms,professional,village,yes,never,0,m
ewmsc,general,village,yes,never,1,f
pcmsewb,general,village,yes,never,1,m
smecw,professional,village,yes,sev_a_year,1,f
ewmscpb,general,village,yes,sev_a_year,0,f
ewspmc,professional,village,yes,sev_a_year,1,m
wemcs,professional,village,yes,never,0,m
ewsmcpdb,professional,village,yes,never,0,m
ewmsc,general,village,yes,sev_a_year,0,f
wemcs,general,village,yes,sev_a_year,0,f
ewsc,general,village,yes,sev_a_year,0,f
wsemc,professional,village,yes,never,0,m
sewc,professional,village,yes,never,0,f
sewmc,professional,village,yes,sev_a_year,0,f
ewsmc,professional,village,yes,never,1,f
ewmscdpb,general,village,yes,sev_a_year,0,f
sewmcd,professional,village,yes,sev_a_year,1,f
emcsw,professional,village,yes,never,1,f
ewsmcp,professional,village,yes,never,0,m
ewmcs,professional,village,yes,never,0,f
wmesc,professional,village,yes,never,0,m
ewmscp,professional,village,yes,never,0,m
mscew,general,village,yes,sev_a_year,1,f
semcw,higher,village,yes,sev_a_year,1,f
wces,professional,village,yes,sev_a_year,0,f
wecs,professional,village,yes,min_once_a_month,0,f
sewmc,higher,village,yes,sev_a_year,1,f
ewmcs,professional,village,yes,sev_a_year,1,f
swmdce,professional,village,yes,sev_a_year,0,f
ewmcs,higher,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,never,0,m
ewpbs,professional,village,yes,sev_a_year,0,f
ewmsc,professional,village,yes,never,1,m
ewmsc,professional,village,yes,sev_a_year,1,f
swemc,professional,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,never,1,f
ewmdcps,professional,village,yes,min_once_a_month,0,f
ewmsc,professional,village,yes,never,0,m
ewmcs,higher,village,yes,never,1,m
wecsp,general,village,yes,sev_a_year,0,f
cmsew,professional,village,yes,sev_a_year,0,f
ewmcs,professional,village,yes,sev_a_year,1,f
ewmcs,higher,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,never,1,f
wespbc,professional,village,yes,never,0,f
wemcds,general,village,yes,never,1,f
wecms,general,village,yes,never,1,f
ewsc,general,village,yes,sev_a_year,0,f
ewsc,general,village,yes,sev_a_year,0,f
swmdec,general,village,yes,sev_a_year,0,f
swmec,professional,village,yes,sev_a_year,1,f
sewcm,professional,village,yes,sev_a_year,1,f
sewmc,professional,village,yes,never,0,f
ewmcs,general,village,no,never,1,m
swepmc,professional,village,yes,sev_a_year,1,f
sewpc,professional,village,yes,sev_a_year,1,m
smewc,professional,village,yes,never,1,m
sewm,higher,village,no,never,1,m
ewsmc,professional,village,no,never,1,m
sewmc,professional,village,yes,never,1,m
sewpmc,professional,village,yes,sev_a_year,0,f
wsemc,professional,village,yes,never,0,m
ewmcs,professional,village,yes,never,0,m
ewsmc,professional,village,yes,sev_a_year,0,f
smcew,higher,village,yes,sev_a_year,0,f
wemscp,general,village,yes,never,0,f
cemws,professional,village,yes,never,0,m
sewmc,professional,village,yes,never,0,f
ewmcsdpb,professional,city,yes,sev_a_year,1,f
eswmd,higher,city,yes,sev_a_year,1,m
ewmsc,professional,city,yes,sev_a_year,1,f
pscwmeb,general,city,yes,sev_a_year,0,f
wmsce,higher,city,yes,sev_a_year,0,f
wepsmc,professional,city,yes,never,1,m
ewmcs,professional,city,yes,sev_a_year,0,f
wepmcsb,general,city,yes,sev_a_year,0,f
wmdcspeb,professional,city,yes,never,0,f
wmces,professional,city,yes,sev_a_year,0,f
wmces,professional,city,yes,sev_a_year,0,m
wesmc,professional,city,yes,sev_a_year,0,f
wmsec,professional,city,yes,sev_a_year,0,f
ewmsc,professional,city,yes,min_once_a_month,1,f
mswce,higher,city,yes,min_once_a_month,1,m
psmcwe,higher,city,yes,sev_a_year,1,f
pmewcsb,professional,city,yes,sev_a_year,0,f
swemc,higher,city,yes,never,0,f
wse,professional,city,yes,never,0,f
ewmcs,higher,city,yes,sev_a_year,1,m
wsemc,professional,city,yes,sev_a_year,0,f
emswcd,professional,city,yes,sev_a_year,0,f
ewmsc,professional,city,yes,sev_a_year,1,m
ewmdcs,professional,city,yes,never,1,m
wesmc,general,city,yes,never,0,m
swemc,higher,city,yes,sev_a_year,0,f
mswce,professional,city,yes,min_once_a_month,1,m
ews,higher,city,yes,sev_a_year,1,f
wemc,higher,city,no,sev_a_year,1,m
wpsmceb,professional,city,yes,once_a_week,0,f
wepcms,general,city,yes,sev_a_year,1,m
swmec,general,city,yes,sev_a_year,0,f
ewmsc,professional,city,yes,sev_a_year,0,f
ews,higher,city,yes,sev_a_year,0,f
ewmcs,professional,city,yes,sev_a_year,0,f
ewpscm,professional,city,yes,sev_a_year,1,f
wemsc,general,city,yes,min_once_a_month,0,f
wmsced,higher,city,yes,sev_a_year,0,f
mwces,general,city,yes,sev_a_year,0,m
wemcs,general,city,yes,never,0,m
wepscbmd,professional,city,yes,never,1,m
wsepb,professional,city,yes,sev_a_year,1,m
swemc,professional,city,yes,min_once_a_month,0,f
wesc,professional,city,yes,sev_a_year,0,f
mwcse,higher,city,yes,sev_a_year,1,m
wsmcdep,professional,city,yes,sev_a_year,0,f
wmsce,professional,city,yes,never,0,f
wepmcbds,general,city,yes,sev_a_year,0,f
ewpmcs,professional,city,yes,sev_a_year,0,f
specw,professional,city,yes,sev_a_year,1,f
ewmcdpbs,professional,city,yes,sev_a_year,1,m
smewc,higher,city,yes,sev_a_year,0,f
ewpsmc,professional,city,yes,sev_a_year,1,f
eswmc,professional,city,no,never,0,f
ewpsbmcd,general,city,yes,sev_a_year,0,f
ewpb,higher,city,yes,sev_a_year,1,m
swmce,professional,city,yes,sev_a_year,0,m
wmsce,professional,city,yes,never,1,f
we,higher,city,yes,sev_a_year,1,f
pmscew,higher,city,yes,never,1,m
ewsmc,general,city,yes,never,0,m
ewpmc,professional,city,yes,sev_a_year,1,m
emswc,professional,city,yes,sev_a_year,0,f
wemsc,professional,city,yes,sev_a_year,1,m
ewmc,professional,city,yes,sev_a_year,1,m
sewmc,professional,city,yes,sev_a_year,0,f
wsmec,professional,city,yes,sev_a_year,0,f
ewmdpc,higher,city,yes,sev_a_year,1,f
sewmc,professional,city,yes,min_once_a_month,0,f
ewsmc,professional,city,no,never,0,f
mscewdp,higher,city,yes,never,1,f
wsemc,higher,city,yes,sev_a_year,0,f
ewsmc,professional,city,yes,never,0,f
eswmc,professional,city,no,never,0,f
cmsewd,professional,city,yes,sev_a_year,1,f
wemsc,professional,city,yes,sev_a_year,1,f
emswc,professional,city,yes,sev_a_year,1,f
spmcew,higher,city,yes,sev_a_year,0,f
sewcmp,professional,city,yes,sev_a_year,1,f
pemscwbd,professional,city,yes,never,1,m
wse,higher,city,no,never,0,f
wmces,higher,city,yes,sev_a_year,0,f
mwsced,higher,city,yes,min_once_a_month,0,f
swepm,higher,city,yes,sev_a_year,0,f
smcew,professional,city,yes,sev_a_year,0,m
swemdp,professional,city,yes,sev_a_year,0,f
sew,professional,city,yes,sev_a_year,0,f
spcew,professional,city,yes,never,0,m
spewmc,higher,city,yes,sev_a_year,1,f
ewspmcbd,professional,city,yes,sev_a_year,0,f
wpsmbdec,general,city,yes,sev_a_year,0,m
ewmsc,higher,city,yes,sev_a_year,0,m
sewmc,higher,city,yes,min_once_a_month,0,f
sewmd,professional,city,yes,sev_a_year,1,m
ewspmcbd,professional,city,yes,sev_a_year,1,m
wesmc,professional,city,yes,sev_a_year,0,f
esmcwpb,general,city,yes,sev_a_year,0,f
ewpmcsbd,professional,city,yes,never,0,m
mewcs,professional,city,yes,sev_a_year,1,f
wsme,professional,city,yes,never,0,m
sewmpcb,professional,city,yes,sev_a_year,0,f
ewmsc,professional,city,yes,sev_a_year,1,m
ewsmc,professional,city,yes,sev_a_year,0,f
wesc,professional,city,yes,sev_a_year,0,f
ewmcs,professional,city,yes,sev_a_year,1,f
smewc,higher,city,yes,sev_a_year,0,m
ewmcsdp,higher,city,no,never,0,f
semwcdp,higher,city,yes,never,1,m
wpcebs,professional,city,yes,sev_a_year,0,f
wmsec,professional,city,yes,sev_a_year,0,m
wmces,professional,city,yes,sev_a_year,0,m
swmce,professional,city,yes,sev_a_year,0,m
sewmc,professional,city,yes,sev_a_year,0,f
pmcwbse,general,city,yes,sev_a_year,1,f
sewc,higher,city,yes,sev_a_year,1,f
msdwce,general,city,yes,never,0,f
wmscde,professional,city,yes,sev_a_year,0,f
wmcse,professional,city,yes,sev_a_year,0,f
ewsmc,general,city,yes,min_once_a_month,0,f
wmse,higher,city,no,never,0,f
we,higher,city,yes,sev_a_year,1,f
mwsce,professional,city,yes,sev_a_year,0,f
wmsce,higher,city,yes,sev_a_year,1,m
ewmc,professional,city,yes,sev_a_year,1,f
wmeds,higher,city,yes,sev_a_year,0,f
mcsewd,professional,city,yes,sev_a_year,0,f
sewmc,professional,city,yes,sev_a_year,0,f
mwecs,professional,city,yes,never,1,f
ewsmc,professional,city,yes,sev_a_year,0,f
semwcd,higher,city,yes,never,0,f
mcsew,higher,city,yes,sev_a_year,0,f
ewsmc,professional,city,yes,sev_a_year,0,f
ewsmc,professional,city,yes,never,0,m
wpmscebd,higher,city,yes,sev_a_year,0,f
wemcs,professional,city,yes,sev_a_year,1,f
ewmsc,professional,city,yes,never,1,m
wsmce,professional,city,yes,sev_a_year,0,f
mewcs,professional,city,yes,sev_a_year,0,f
ewmcs,general,city,yes,sev_a_year,1,f
wsmce,professional,city,yes,sev_a_year,0,f
wsemcdp,higher,city,yes,never,0,m
eswm,general,city,yes,sev_a_year,1,m
esw,general,city,yes,sev_a_year,0,f
ewpc,professional,city,yes,sev_a_year,1,f
wmscdpeb,professional,city,yes,sev_a_year,0,f
ewmcspd,professional,city,yes,sev_a_year,0,m
wsmce,professional,city,yes,once_a_week,1,m
ewpmcbd,professional,city,yes,min_once_a_month,0,f
sewmc,professional,city,yes,sev_a_year,0,f
sewmcdp,higher,city,yes,sev_a_year,1,m
pmcsebdw,professional,city,yes,sev_a_year,1,f
wcsepb,professional,city,yes,sev_a_year,0,f
ewmsc,higher,city,yes,sev_a_year,0,m
wemsc,general,city,yes,never,0,m
wsmec,higher,city,yes,min_once_a_month,0,f
ewmscd,professional,city,yes,sev_a_year,0,f
ewmcs,general,city,yes,never,0,f
sepwmcbd,higher,city,no,never,0,f
wcmse,higher,city,no,never,0,m
smewcd,higher,city,yes,never,0,f
swmced,general,city,yes,never,1,m
swmcep,higher,city,yes,min_once_a_month,0,f
mewsd,higher,city,yes,min_once_a_month,0,f
sewmc,professional,city,yes,sev_a_year,1,m
smcew,higher,city,yes,sev_a_week,1,m
wsem,professional,city,yes,sev_a_year,0,f
mswec,higher,city,yes,sev_a_year,1,m
ewsmc,general,city,yes,sev_a_week,0,f
smecdw,higher,city,yes,min_once_a_month,1,f
sewpbcm,professional,city,yes,min_once_a_month,0,f
wespbc,professional,city,yes,sev_a_year,0,f
ewcsmd,professional,city,yes,never,1,f
wcem,higher,city,yes,sev_a_year,1,m
pwmces,higher,city,yes,sev_a_year,1,m
smewc,higher,city,no,never,0,m
ew,professional,city,yes,sev_a_year,1,m
wmces,professional,city,yes,sev_a_year,0,f
ewpmsc,professional,city,yes,never,1,m
wmsce,higher,city,yes,sev_a_year,1,m
wecs,higher,city,yes,never,0,f
mewcs,professional,city,yes,sev_a_year,0,f
ewspmcbd,higher,city,yes,sev_a_year,1,m
ewmsc,professional,city,yes,sev_a_year,1,f
mscdwe,higher,city,yes,sev_a_year,1,f
cemswd,professional,city,yes,sev_a_year,1,f
wsmec,general,city,yes,min_once_a_month,0,f
swepc,higher,city,yes,sev_a_year,0,f
ewpmcsbd,professional,city,yes,sev_a_year,1,f
swemc,professional,city,yes,min_once_a_month,0,f
swec,general,city,yes,min_once_a_month,0,f
mecw,general,city,yes,sev_a_year,1,f
swmce,professional,city,no,never,0,m
swemc,professional,city,yes,sev_a_year,0,m
sewmc,professional,city,yes,sev_a_year,0,f
swpce,higher,city,yes,never,1,m
wsepb,general,city,yes,sev_a_year,0,f
spmcewbd,higher,city,yes,sev_a_year,1,m
wsmcepb,general,city,yes,sev_a_year,0,f
wmsce,higher,city,yes,sev_a_year,1,f
wsemc,general,city,yes,sev_a_year,0,f
wemcs,professional,city,yes,sev_a_year,1,m
wpmsceb,professional,city,yes,sev_a_year,0,f
wmces,higher,city,yes,sev_a_year,1,m
ewmsc,professional,city,yes,never,0,m
ewsmdc,professional,city,no,sev_a_year,0,f
ewc,professional,city,yes,never,1,f
wemcs,professional,city,yes,sev_a_year,1,m
sew,professional,city,yes,sev_a_year,1,m
swmec,professional,city,yes,sev_a_year,1,f
ewpsc,professional,city,yes,never,0,m
ewmcs,professional,city,yes,min_once_a_month,1,m
sew,professional,city,yes,sev_a_year,1,m
sewmc,professional,city,yes,sev_a_year,0,f
ewsmc,professional,city,yes,never,0,f
swmec,professional,city,yes,sev_a_year,0,f
swpmce,general,city,yes,sev_a_year,1,f
ewsc,general,city,yes,never,0,m
swemcdp,professional,city,yes,sev_a_year,0,m
ewmcs,professional,city,yes,sev_a_year,1,f
wpsmec,professional,city,yes,never,1,f
wsme,professional,city,yes,never,0,m
sewpcm,higher,city,yes,never,1,f
swpmceb,general,city,no,never,0,m
mcdsewp,higher,city,yes,never,1,f
psewbc,professional,city,yes,sev_a_year,1,f
wsmcepbd,professional,city,yes,sev_a_year,1,f
smewc,professional,city,yes,sev_a_year,0,f
sewmc,professional,city,yes,never,0,f
swmce,higher,city,yes,sev_a_year,0,f
psmwecbd,higher,city,yes,sev_a_year,1,f
eswc,professional,city,yes,sev_a_year,0,f
sewcpmb,general,city,no,never,1,f
swemc,professional,city,no,never,0,f
mewcsd,higher,city,yes,never,1,f
sewmcdp,professional,city,yes,sev_a_year,0,m
ewps,professional,city,yes,sev_a_year,1,m
ewmsc,higher,city,no,never,1,m
ewpmcsdb,professional,city,yes,never,0,f
sewcm,professional,city,yes,never,0,m
mewcs,professional,city,yes,min_once_a_month,0,f
ewsc,professional,city,no,never,1,f
mcews,higher,city,no,never,1,f
spewmcbd,professional,city,yes,sev_a_year,1,f
wepmsc,professional,city,yes,sev_a_year,0,f
ewpsmc,professional,city,yes,never,1,f
smecw,higher,city,yes,never,1,f
sewmc,professional,city,yes,min_once_a_month,0,f
sewpcbm,professional,city,yes,never,0,f
wsemcd,higher,city,yes,sev_a_year,0,f
wces,professional,city,no,sev_a_year,0,f
swemcd,general,city,yes,never,1,m
wmsce,higher,city,yes,min_once_a_month,0,f
mcwesd,higher,city,yes,min_once_a_month,0,f
wes,professional,city,no,never,0,m
wemcds,professional,city,no,sev_a_year,1,f
ewsmcpdb,general,city,yes,sev_a_year,0,f
wspmcebd,higher,city,yes,sev_a_year,0,m
sewmc,professional,city,yes,min_once_a_month,0,f
ewmcds,professional,city,yes,never,1,f
ewsmdpc,higher,city,yes,never,0,f
wmecs,professional,city,yes,never,0,m
wsmce,higher,city,no,never,0,f
smewdc,higher,city,yes,never,1,f
wsec,higher,city,yes,sev_a_year,1,f
mscew,higher,city,yes,sev_a_year,0,f
eswmc,professional,city,yes,sev_a_year,0,f
epwmsc,professional,city,yes,sev_a_year,1,f
ewpmcsbd,professional,city,yes,sev_a_year,1,f
mscew,higher,city,yes,sev_a_year,1,f
wemsc,professional,city,yes,sev_a_year,0,m
swepmcbd,professional,city,yes,never,0,f
we,general,city,yes,min_once_a_month,1,m
eswpb,general,city,yes,never,1,m
wmsce,professional,city,yes,never,0,f
sewcm,professional,city,yes,sev_a_year,0,f
spewmcbd,professional,city,yes,never,0,f
wesmc,professional,city,no,never,0,m
wemcs,professional,city,yes,sev_a_year,0,f
wsmcdep,higher,city,yes,never,0,f
mcswe,professional,city,yes,sev_a_year,0,f
sewcpm,professional,city,yes,never,1,f
sewpcb,professional,city,yes,sev_a_year,1,f
sewmc,professional,city,yes,sev_a_year,1,f
ewsc,professional,city,yes,sev_a_year,1,f
ewmcs,professional,city,yes,sev_a_year,0,f
pwmsce,professional,city,no,sev_a_year,0,f
eswpmc,professional,city,no,never,1,m
wpsmce,professional,village,yes,never,0,m
ewmsc,professional,village,yes,never,0,f
sewmc,higher,village,yes,never,0,f
ewmcsd,professional,village,yes,never,0,f
swec,general,village,yes,never,0,f
sewpcb,higher,village,yes,sev_a_year,1,f
wepscmb,general,village,no,never,0,f
ewmcs,professional,village,yes,never,1,f
ewsmc,professional,village,no,never,0,f
ewspcm,professional,village,no,never,1,f
wesc,professional,village,yes,never,1,f
eswmcd,higher,village,no,never,1,m
sewmc,professional,village,yes,never,1,f
ewmsc,professional,village,yes,never,0,f
wmsce,professional,village,yes,never,1,f
smewcd,professional,village,yes,never,0,f
wsec,general,village,yes,never,0,f
swemc,professional,village,yes,sev_a_year,1,f
swempdc,professional,village,yes,never,0,f
ewcpsm,professional,village,yes,never,1,m
we,higher,village,yes,never,1,f
sewmc,professional,village,no,sev_a_year,1,f
wsmce,professional,village,no,never,0,f
wce,higher,village,yes,sev_a_year,1,f
sewmc,professional,village,yes,never,0,f
sewmc,professional,village,no,never,1,f
wmsec,professional,village,no,never,0,m
emwscpb,professional,village,no,never,0,f
sew,professional,village,no,never,1,m
ewmscd,professional,village,yes,sev_a_year,0,f
swmec,general,village,yes,never,0,m
sewmc,professional,village,yes,sev_a_year,0,m
eswmc,higher,village,yes,sev_a_year,0,f
swepcm,professional,village,yes,never,0,m
wsep,professional,village,yes,never,1,m
wesmc,general,village,yes,sev_a_year,0,m
ewmsc,professional,village,yes,sev_a_year,1,f
eswmc,professional,village,yes,sev_a_year,1,m
sewpc,professional,village,yes,sev_a_year,1,m
sewcpbm,professional,village,yes,never,1,f
wsmec,professional,village,yes,never,1,f
csewp,professional,village,yes,never,1,f
wsec,professional,village,yes,never,0,f
ewsc,general,village,yes,never,0,f
wsecp,professional,village,no,never,1,f
sepbcw,general,village,yes,never,0,m
ewmsc,professional,village,yes,never,1,f
sewmc,professional,village,yes,sev_a_year,0,f
wemcs,professional,village,yes,never,0,f
wsemcpb,general,village,yes,never,1,f
sewmc,professional,village,yes,never,0,f
wpscme,professional,village,yes,sev_a_year,1,f
swmcdpeb,professional,village,no,never,1,f
eswpcm,professional,village,no,never,1,m
wmsecdp,general,village,yes,never,0,f
wesmc,professional,village,yes,never,0,m
ewmsc,professional,village,no,never,1,f
smcew,professional,village,yes,never,0,f
sewmc,professional,village,no,never,1,f
msewc,professional,village,no,never,1,f
esmc,general,village,no,never,1,f
escw,general,village,no,never,0,f
emswc,professional,village,yes,never,0,f
pmeswcbd,professional,village,yes,never,1,f
wmsedc,general,village,yes,never,0,m
wesmcpd,general,village,yes,never,0,f
wsemcdpb,general,village,yes,never,1,f
ewpsmcb,general,village,yes,never,0,f
wepscb,general,village,yes,never,0,f
wesp,general,village,no,never,1,m
wesmc,professional,village,yes,never,1,m
ewmsc,professional,village,yes,never,1,f
wmescdp,general,village,yes,sev_a_year,0,f
wemcs,professional,village,yes,never,0,m
mscewdp,higher,village,yes,min_once_a_month,1,m
ecmwsd,professional,village,yes,never,0,f
ewmsc,general,village,yes,never,0,m
ewmsc,professional,village,yes,never,1,m
ewsmc,general,village,no,never,1,m
sewmc,professional,village,yes,sev_a_year,0,m
swmec,professional,village,yes,sev_a_year,0,f
wemcs,professional,village,yes,never,1,m
msewc,general,village,no,never,0,f
spmcwe,professional,village,yes,sev_a_year,1,f
sewmcp,general,village,no,never,1,f
wsmecd,professional,village,no,never,1,f
smwec,general,village,no,never,1,m
mscew,professional,village,no,never,0,m
emwsc,general,village,yes,sev_a_year,1,f
wesmc,professional,village,no,never,0,f
sewpm,professional,village,no,never,1,m
wepsmcb,general,village,yes,sev_a_year,0,m
swemc,professional,village,no,never,1,f
ewpsmcb,general,village,yes,never,0,f
swemc,professional,village,yes,never,0,f
sewmc,professional,village,yes,never,1,m
ewpmcs,professional,village,yes,never,1,m
pmcwesb,general,village,yes,never,0,f
swemcdp,professional,village,yes,never,0,f
swpmecbd,general,village,yes,sev_a_year,0,f
sewpmcdb,professional,village,no,never,1,f
wmcse,higher,village,yes,sev_a_year,1,f
swpecmb,professional,village,yes,sev_a_year,0,f
sewmc,higher,village,yes,sev_a_year,1,m
cewspmbd,professional,village,no,never,1,f
spewcbm,professional,village,yes,never,0,f
sewmc,professional,village,yes,never,1,f
ewmcs,professional,village,yes,never,1,f
sewmc,professional,village,yes,sev_a_year,1,f
ewmsc,general,village,yes,sev_a_year,0,f
espcmb,general,village,no,never,1,f
wemsc,general,village,no,never,0,m
mwces,professional,village,no,never,0,m
wemscdpb,general,village,no,never,0,f
wemsc,general,village,yes,never,0,f
sepwmc,professional,village,no,never,1,f
wsepmc,general,village,yes,sev_a_year,0,f
mscdwpe,professional,village,yes,sev_a_year,1,f
swmce,professional,village,yes,never,0,f
psmecw,general,village,yes,sev_a_year,0,f
ewscp,professional,village,yes,sev_a_year,1,f
pmcwse,professional,village,no,never,0,m
smcwe,higher,village,yes,sev_a_year,1,f
sewpmc,professional,village,yes,never,1,f
ewmsc,professional,village,yes,sev_a_year,1,f
smecw,professional,village,no,never,1,f
wes,general,village,yes,never,0,f
sewpmcb,higher,village,yes,sev_a_year,1,f
ewmsc,professional,village,yes,never,0,f
ewsc,professional,village,yes,sev_a_year,1,f
wepsmc,professional,village,no,never,0,f
sew,professional,village,yes,never,1,m
sewpcmbd,professional,village,yes,sev_a_year,0,f
wpecbsm,general,village,no,never,1,m
spmcew,general,village,yes,sev_a_year,1,m
sewmc,professional,village,yes,never,1,m
mewsc,professional,village,yes,sev_a_year,1,f
ewsc,general,village,yes,sev_a_year,0,f
wmsce,general,village,yes,never,0,m
sewcm,higher,village,yes,sev_a_year,1,f
wsmec,professional,village,yes,sev_a_year,1,f
wmcse,higher,village,yes,never,0,m
ewsmc,professional,village,yes,never,0,f
mcwsedp,professional,village,no,never,0,f
ews,higher,village,yes,never,1,f
wsemc,professional,village,yes,never,0,m
epwscmbd,professional,village,yes,sev_a_year,0,f
wmsce,higher,village,yes,sev_a_year,0,f
mescw,higher,village,yes,sev_a_year,1,f
wsmec,professional,village,yes,sev_a_year,1,f
ewcpms,higher,village,yes,sev_a_year,1,f
wemsc,professional,village,no,never,1,f
wmsce,higher,village,no,never,1,f
swmce,professional,village,yes,sev_a_year,0,f
pcsebwm,professional,village,no,never,1,f
smcwe,higher,village,yes,never,1,f
