gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;last_ev
f;professional;town;yes;sev_a_year;10g;;248;;;251;248;;246;>;n;n;>;n;>;>;<;<;>;<;=;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;work
f;professional;town;yes;min_once_a_month;7g;;234;;;;206;239;235;>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;general;town;yes;sev_a_year;7g;281;242;;;258;242;201;211;>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;br
m;general;town;yes;never;4g;;259;;;;223;213;206;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;higher;town;yes;sev_a_year;6g;;319;;;325;;231;305;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
m;higher;town;yes;min_once_a_month;8g;;253;;;263;209;278;;>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;education
f;general;town;yes;min_once_a_month;3g;;235;;;;235;184;160;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;town;no;never;5g;;338;;;;215;254;234;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;town;yes;sev_a_year;5g;;317;;;;317;244;242;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;town;yes;never;9g;311;;;;;222;213;249;<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;higher;town;yes;never;2g;339;348;;;;348;284;237;<;<;<;>;>;<;<;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;town;yes;min_once_a_month;2g;;206;;;224;206;187;;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;professional;town;yes;sev_a_year;6g;;228;;;;183;182;205;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;professional;town;yes;never;3g;;363;;;371;215;177;;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
m;higher;town;yes;sev_a_year;9g;;276;;;282;209;322;271;>;n;n;>;>;>;>;<;<;>;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;div
f;higher;town;yes;sev_a_year;3g;;301;;;308;;215;308;>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;=;<;<;>;sep
f;general;town;yes;sev_a_year;7g;;;;;250;;228;213;n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;town;yes;never;5g;;253;;;268;215;211;;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;professional;town;yes;sev_a_year;4g;;285;;;;202;253;236;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;town;yes;never;7g;;293;;;303;;215;213;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;professional;town;yes;sev_a_year;8g;;222;;;;203;214;213;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
m;professional;town;yes;never;7g;;270;;;278;;231;231;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;sep
m;professional;town;yes;sev_a_year;6g;;272;;;293;;274;248;>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;professional;town;yes;sev_a_year;7g;;235;;436;244;163;290;220;>;n;>;>;>;>;>;<;<;>;<;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;>;<;partner
f;professional;town;yes;sev_a_year;6g;;231;;;;210;219;219;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;child
f;professional;town;yes;never;5g;;254;;;;254;234;209;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;town;yes;sev_a_year;8g;;242;;;;209;232;231;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;town;yes;min_once_a_month;5g;;295;;;;198;218;217;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;general;town;yes;never;2g;;216;;;225;216;220;;>;n;n;n;>;>;>;<;<;<;<;=;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;higher;town;yes;sev_a_year;4g;;269;;;;206;207;264;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;child
f;professional;town;yes;sev_a_year;5g;;234;;;;183;217;216;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;town;yes;sev_a_year;3g;;228;;;257;228;193;;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
m;general;town;yes;never;4g;;328;;;;328;254;331;>;n;n;>;>;>;n;<;<;<;>;=;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;professional;town;yes;sev_a_year;3g;326;336;;;336;;221;221;<;<;<;>;>;<;<;<;<;>;>;<;=;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;sep
f;professional;town;yes;sev_a_year;3g;;276;;;;265;254;252;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;town;yes;sev_a_year;6g;;225;;321;239;225;188;235;>;n;>;>;>;>;>;<;<;<;>;=;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;partner
f;professional;town;yes;sev_a_year;6g;;277;;;303;;220;219;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;town;yes;never;6g;;250;;;257;259;241;;>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;education
m;professional;town;yes;sev_a_year;4g;;276;;;283;276;215;;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;higher;town;yes;sev_a_year;8g;;302;;;;302;278;276;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;town;yes;sev_a_year;7g;;229;;319;234;189;189;224;>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;=;<;<;partner
f;professional;town;yes;sev_a_year;6g;;242;;;266;209;231;;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;professional;town;yes;sev_a_year;10g;;237;;;244;237;;223;>;n;n;>;n;>;>;<;<;>;<;=;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;work
m;higher;town;yes;sev_a_year;9g;;283;;;303;210;212;;>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
m;professional;town;yes;never;6g;;267;;;277;;246;218;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;village;no;never;8g;;;;;;216;245;220;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;village;yes;sev_a_year;2g;707;291;;;305;291;249;247;>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
f;professional;village;yes;never;9g;;215;;;219;215;;217;>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;work
f;professional;village;yes;never;8g;;254;;;;254;227;225;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;general;village;yes;never;2g;;284;;;;251;198;281;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;professional;village;yes;never;1g;293;302;;;302;218;442;;<;<;<;<;<;>;<;<;<;<;<;>;=;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;education
f;professional;village;yes;never;11g;;;;;;210;232;232;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;child
f;professional;village;yes;sev_a_year;4g;;;;;213;182;;206;n;n;n;>;n;>;>;n;n;>;n;>;>;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;work
f;professional;village;yes;sev_a_year;1g;;286;;;303;286;231;;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;professional;village;yes;sev_a_year;2g;355;;;;365;237;233;348;<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;marriage
f;professional;village;yes;never;8g;;260;;;;211;242;241;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
m;professional;village;yes;never;6g;;240;;;243;201;;246;>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;work
m;higher;village;yes;never;4g;;282;;;293;;;291;>;n;n;>;n;n;>;<;<;<;<;<;<;n;>;n;n;>;>;n;n;>;<;<;<;n;>;>;sep
f;general;village;yes;sev_a_year;1g;570;215;;;199;215;221;151;>;<;<;>;>;>;>;<;<;>;<;=;>;n;>;>;>;>;>;>;>;>;<;<;<;>;>;>;br
f;professional;village;yes;sev_a_year;11g;;223;;;231;;;226;>;n;n;>;n;n;>;<;<;<;<;<;<;n;>;n;n;>;>;n;n;>;<;<;<;n;>;>;work
f;general;village;yes;sev_a_year;5g;;320;;;;320;267;195;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;village;yes;sev_a_year;7g;;245;;;254;245;;291;>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;work
f;higher;village;yes;sev_a_year;5g;;240;;;249;205;;262;>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;work
f;professional;village;yes;sev_a_year;6g;;211;;;221;;232;278;>;n;n;>;>;n;>;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;>;<;>;<;>;>;sep
m;professional;village;yes;never;5g;;250;;;258;;253;212;>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;general;village;yes;once_a_week;1g;;237;;;;237;197;173;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;5g;;238;;;241;238;232;173;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;div
m;professional;village;yes;never;11g;254;261;;;;254;248;225;<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;village;yes;never;9g;366;367;385;;381;367;241;239;<;<;<;>;>;<;<;<;<;>;>;=;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;div
f;professional;village;yes;sev_a_year;6g;472;221;;414;230;213;221;222;>;<;>;>;>;>;>;<;<;<;=;>;<;>;>;>;>;>;>;>;>;>;>;>;<;>;<;<;br
f;general;village;yes;never;1g;;;;;;220;212;138;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;1g;246;;;;255;246;191;191;<;<;<;>;>;=;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;br
f;professional;village;yes;sev_a_year;4g;268;230;393;;241;;257;228;>;<;<;>;>;<;>;<;<;>;<;<;<;<;>;>;<;>;>;>;n;>;<;<;<;<;>;>;sep
f;professional;village;yes;sev_a_year;8g;;240;;;;212;212;221;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;child
f;professional;village;yes;never;9g;213;217;;;217;204;262;;<;<;<;<;<;>;<;<;<;<;<;>;=;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;education
f;professional;village;yes;never;2g;275;297;;;282;308;179;256;<;<;<;>;>;<;<;<;<;>;>;<;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;br
f;general;village;yes;sev_a_year;5g;364;250;;281;264;250;245;209;>;<;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
f;general;village;yes;sev_a_year;2g;;;;;;249;244;172;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;village;yes;never;6g;282;;312;;291;514;186;218;<;<;<;>;>;<;<;>;n;>;>;>;>;<;>;>;<;>;>;>;>;>;>;<;<;<;<;>;marriage
f;professional;village;yes;never;5g;;244;;509;261;317;206;294;>;n;>;>;>;>;>;<;<;<;>;<;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;>;partner
m;higher;village;yes;never;4g;;281;;;412;262;294;;>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;education
f;professional;village;yes;never;9g;;224;;319;234;248;222;221;>;n;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;>;partner
m;professional;village;yes;never;8g;;284;;;;284;263;237;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;village;yes;never;9g;;;;;320;;272;270;n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;village;yes;never;6g;;240;;;;196;258;231;>;n;n;>;>;>;n;<;<;>;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
m;professional;village;yes;never;6g;;259;;;;254;230;230;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;child
f;general;village;yes;sev_a_year;1g;;;;;;280;251;132;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;1g;;251;;;;256;192;157;>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;1g;;;;;;281;201;153;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;village;yes;never;8g;278;;;;283;301;243;283;<;<;<;<;>;<;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;=;<;<;>;marriage
m;general;village;yes;never;1g;;284;;;;302;136;169;>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;child
m;professional;village;yes;never;5g;;288;;;;278;277;208;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;2g;;220;;;;220;175;201;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;child
f;general;village;yes;sev_a_year;5g;;263;;;;263;209;209;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;child
m;general;village;yes;never;1g;243;260;;;259;243;242;155;<;<;<;>;>;=;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
m;general;village;yes;sev_a_year;3g;;301;;;;261;212;209;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;village;yes;never;3g;;288;;;298;;245;221;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;higher;village;yes;never;9g;;272;;;280;;256;253;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;general;village;yes;sev_a_year;3g;;231;;;245;;207;172;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;village;yes;never;2g;;296;;;;216;289;312;>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;child
f;professional;village;yes;never;6g;;248;;;;185;249;206;>;n;n;>;>;>;n;<;<;>;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;general;village;yes;sev_a_year;3g;;306;;;;306;221;183;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;village;yes;never;4g;;344;;;296;;254;228;>;n;n;>;>;n;>;<;<;>;>;<;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;general;village;yes;never;8g;;212;;;;212;211;209;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;general;village;yes;never;7g;290;303;;;301;309;331;310;<;<;<;<;<;<;<;<;<;<;<;<;>;n;>;>;>;>;>;>;>;>;<;>;>;>;>;>;br
f;professional;village;yes;sev_a_year;7g;;234;;;244;207;;242;>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;work
f;general;village;yes;sev_a_year;3g;541;262;;;277;262;234;197;>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
m;professional;village;yes;sev_a_year;9g;418;422;;;;232;221;221;<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;child
m;professional;village;yes;never;5g;;255;;;255;;174;235;>;n;n;>;>;n;>;<;<;>;>;<;=;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
m;professional;village;yes;never;6g;363;295;;363;326;267;214;208;>;<;=;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
f;general;village;yes;sev_a_year;1g;;276;;;;276;234;164;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;1g;;270;;;289;;120;201;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
f;general;village;yes;sev_a_year;1g;;;;;;255;173;162;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;village;yes;never;5g;;254;;;;217;215;237;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
f;professional;village;yes;never;5g;;;;;;205;313;310;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;village;yes;sev_a_year;5g;;238;;;;212;234;233;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;village;yes;never;9g;;240;;;;235;234;232;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;general;village;yes;sev_a_year;2g;333;258;;276;269;258;210;196;>;<;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;br
f;professional;village;yes;sev_a_year;8g;;253;;;262;206;229;227;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;div
f;professional;village;yes;never;10g;;218;;;221;277;;217;>;n;n;>;n;>;>;<;<;>;<;<;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;>;work
m;professional;village;yes;never;4g;;320;;;332;199;184;183;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;partner
f;professional;village;yes;never;6g;;338;;;451;;240;238;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;village;yes;never;5g;;238;;;;247;192;238;>;n;n;>;>;>;n;<;<;=;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;child
m;professional;village;yes;never;6g;;281;;;428;387;255;215;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;partner
f;general;village;yes;sev_a_year;7g;;191;;;206;197;;209;>;n;n;>;n;>;>;<;<;<;<;<;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;work
f;higher;village;yes;sev_a_year;9g;;272;;;289;210;;268;>;n;n;>;n;>;>;<;<;>;<;>;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;work
f;professional;village;yes;sev_a_year;1g;;;;;256;;177;307;n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;sep
f;professional;village;yes;min_once_a_month;6g;;;;;267;;182;258;n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
f;higher;village;yes;sev_a_year;7g;;267;;;;215;262;260;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
f;professional;village;yes;sev_a_year;7g;;356;;;361;;238;237;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;professional;village;yes;sev_a_year;5g;;274;;286;385;203;225;;>;n;>;n;>;>;>;<;<;<;>;>;<;>;n;>;>;>;<;>;>;<;>;>;>;>;<;<;education
f;higher;village;yes;sev_a_year;8g;;272;;;277;;267;264;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
