partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;gender;education type;locality;religion;how often;generation;last_ev
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;f;professional;village;yes;sev_a_year;8g;child
<;<;<;<;<;>;<;<;<;<;<;>;=;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;f;professional;village;yes;never;9g;education
<;<;<;>;>;<;<;<;<;>;>;<;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;f;professional;village;yes;never;2g;br
>;<;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;village;yes;sev_a_year;5g;br
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;2g;child
<;<;<;>;>;<;<;>;n;>;>;>;>;<;>;>;<;>;>;>;>;>;>;<;<;<;<;>;m;professional;village;yes;never;6g;marriage
>;n;>;>;>;>;>;<;<;<;>;<;<;>;>;>;>;>;>;>;>;>;>;<;>;<;<;>;f;professional;village;yes;never;5g;partner
>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;village;yes;never;4g;education
>;n;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;>;f;professional;village;yes;never;9g;partner
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;8g;child
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;village;yes;never;9g;sep
>;n;n;>;>;>;n;<;<;>;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;yes;never;6g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;professional;village;yes;never;6g;child
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;child
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;child
<;<;<;<;>;<;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;=;<;<;>;m;professional;village;yes;never;8g;marriage
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;general;village;yes;never;1g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;f;general;village;yes;sev_a_year;2g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;f;general;village;yes;sev_a_year;5g;child
<;<;<;>;>;=;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;general;village;yes;never;1g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;village;yes;sev_a_year;3g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;3g;sep
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;higher;village;yes;never;9g;sep
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;general;village;yes;sev_a_year;3g;sep
>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;m;professional;village;yes;never;2g;child
>;n;n;>;>;>;n;<;<;>;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;never;6g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;3g;child
>;n;n;>;>;n;>;<;<;>;>;<;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;4g;sep
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;never;8g;child
<;<;<;<;<;<;<;<;<;<;<;<;>;n;>;>;>;>;>;>;>;>;<;>;>;>;>;>;m;general;village;yes;never;7g;br
>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;professional;village;yes;sev_a_year;7g;work
>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;village;yes;sev_a_year;3g;br
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;professional;village;yes;sev_a_year;9g;child
>;n;n;>;>;n;>;<;<;>;>;<;=;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;m;professional;village;yes;never;5g;sep
>;<;=;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;village;yes;never;6g;br
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;general;village;yes;sev_a_year;1g;sep
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;professional;village;yes;never;5g;child
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;sev_a_year;5g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;village;yes;never;9g;child
>;<;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;village;yes;sev_a_year;2g;br
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;f;professional;village;yes;sev_a_year;8g;div
>;n;n;>;n;>;>;<;<;>;<;<;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;>;f;professional;village;yes;never;10g;work
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;village;yes;never;4g;partner
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;village;yes;never;6g;sep
>;n;n;>;>;>;n;<;<;=;>;<;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;m;professional;village;yes;never;5g;child
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;m;professional;village;yes;never;6g;partner
>;n;n;>;n;>;>;<;<;<;<;<;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;f;general;village;yes;sev_a_year;7g;work
>;n;n;>;n;>;>;<;<;>;<;>;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;higher;village;yes;sev_a_year;9g;work
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;f;professional;village;yes;sev_a_year;1g;sep
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;professional;village;yes;min_once_a_month;6g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;higher;village;yes;sev_a_year;7g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;village;yes;sev_a_year;7g;sep
>;n;>;n;>;>;>;<;<;<;>;>;<;>;n;>;>;>;<;>;>;<;>;>;>;>;<;<;f;professional;village;yes;sev_a_year;5g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;higher;village;yes;sev_a_year;8g;sep
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;6g;child
<;<;<;>;>;<;<;>;n;>;>;n;n;<;>;>;<;<;>;>;n;n;<;<;<;<;<;n;f;professional;village;yes;sev_a_year;1g;sep
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;9g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;village;yes;sev_a_year;8g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;professional;village;yes;sev_a_year;8g;child
>;n;n;>;>;n;n;<;<;>;>;<;<;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;f;professional;village;yes;never;8g;child
>;n;>;>;>;n;>;<;<;>;>;<;<;>;>;>;n;>;>;>;<;<;<;<;<;<;<;>;f;professional;village;yes;min_once_a_month;3g;partner
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;6g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;higher;village;yes;never;8g;sep
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;=;<;<;>;f;general;village;yes;sev_a_year;5g;partner
>;n;n;>;n;>;>;<;<;<;<;=;>;n;>;n;>;>;>;n;>;>;<;>;>;>;>;>;f;professional;village;yes;sev_a_year;6g;work
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;f;professional;village;yes;sev_a_year;8g;sep
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;higher;village;yes;sev_a_year;7g;sep
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;village;yes;never;7g;child
<;<;<;>;>;>;<;>;n;>;>;>;n;<;>;>;>;<;>;>;>;n;>;<;<;<;<;<;f;professional;village;yes;never;6g;child
>;n;>;>;>;n;>;<;<;>;>;<;<;>;>;>;n;>;>;>;<;>;>;<;<;<;<;>;f;general;village;yes;never;9g;sep
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;general;village;yes;never;7g;sep
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;child
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;4g;child
>;n;>;>;>;>;n;<;<;<;>;>;<;>;>;>;>;n;<;>;>;<;>;>;<;>;<;<;f;general;village;yes;sev_a_year;5g;child
>;n;n;>;>;>;n;<;<;<;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;professional;village;yes;sev_a_year;8g;child
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;f;professional;village;yes;sev_a_year;9g;marriage
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;f;professional;village;yes;never;6g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;general;village;no;never;7g;sep
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;professional;village;yes;sev_a_year;11g;child
